Region ID,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,Shipment Allowed,Remarks
E124,Europe,Cz@ech Republic,Bevera2ges,Off2line,C,09-12-2011,01-01-2010,478051030,9/29/2011,4778,47.45,31.79,226716.1,151892.62,74823.48,Yes,ok
E124,Europe,Bosnia and Herzegovina,Clothes,Online,M,10/14/2013,02-01-2010,919133651,11-04-2013,927,109.28,35.84,101302.56,33223.68,68078.88,Yes,ok
E124,Europe,Austria,Cereal,Offline,C,8/13/2014,03-01-2010,987410676,09-06-2014,5616,205.7,117.11,1155211.2,657689.76,497521.44,Yes,ok
E124,Europe,Bulgaria,Office Supplies,Online,L,10/31/2010,04-01-2010,672330081,11/29/2010,6266,651.21,524.96,4080481.86,3289399.36,791082.5,Yes,ok
E124,Europe,Estonia,Fruits,Online,L,9/28/2016,05-01-2010,579463422,11-01-2016,4958,9.33,6.92,46258.14,34309.36,11948.78,Yes,ok
E124,Europe,Montenegro,Fruits,Offline,L,5/29/2016,06-01-2010,313705861,07-10-2016,1390,9.33,6.92,12968.7,9618.8,3349.9,Yes,ok
E124,Europe,Czech Republic,Cereal,Online,M,07-08-2011,07-01-2010,552037513,08-05-2011,9022,205.7,117.11,1855825.4,1056566.42,799258.98,Yes,ok
E124,Europe,Luxembourg,Vegetables,Offline,L,2/13/2010,08-01-2010,744683635,04-01-2010,7291,154.06,90.93,1123251.46,662970.63,460280.83,Yes,ok
E124,Europe,Switzerland,Meat,Online,L,3/21/2014,09-01-2010,169378983,04-10-2014,1860,421.89,364.69,784715.4,678323.4,106392,Yes,ok
E124,Europe,Finland,Beverages,Online,H,3/16/2012,10-01-2010,566428315,3/23/2012,7581,47.45,31.79,359718.45,240999.99,118718.46,Yes,ok
E124,Europe,Belgium,Snacks,Online,M,01-12-2015,11-01-2010,519380223,1/17/2015,5005,152.58,97.44,763662.9,487687.2,275975.7,Yes,ok
E124,Europe,San Marino,Office Supplies,Online,H,4/13/2014,12-01-2010,904589211,05-04-2014,6905,651.21,524.96,4496605.05,3624848.8,871756.25,Yes,ok
E124,Europe,Bosnia and Herzegovina,Baby Food,Online,C,04-04-2015,13-01-2010,184412229,04-07-2015,531,255.28,159.42,135553.68,84652.02,50901.66,Yes,ok
E124,Europe,Netherlands,Meat,Offline,M,03-08-2017,14-01-2010,747774398,04-03-2017,1916,421.89,364.69,808341.24,698746.04,109595.2,Yes,ok
E124,Europe,Russia,Household,Online,M,07-10-2017,15-01-2010,194176757,8/20/2017,72,668.27,502.54,48115.44,36182.88,11932.56,Yes,ok
E124,Europe,Ukraine,Cosmetics,Online,H,1/22/2011,16-01-2010,773645913,1/28/2011,7873,437.2,263.33,3442075.6,2073197.09,1368878.51,Yes,ok
E124,Europe,Bosnia and Herzegovina,Meat,Online,H,7/24/2012,17-01-2010,410740888,09-01-2012,6211,421.89,364.69,2620358.79,2265089.59,355269.2,Yes,ok
E124,Europe,Latvia,Meat,Offline,M,12/15/2011,18-01-2010,847317397,12/18/2011,8902,421.89,364.69,3755664.78,3246470.38,509194.4,Yes,ok
E124,Europe,Serbia,Beverages,Online,L,09-03-2012,19-01-2010,599624192,9/21/2012,978,47.45,31.79,46406.1,31090.62,15315.48,Yes,ok
E124,Europe,Portugal,Office Supplies,Online,M,1/21/2014,20-01-2010,734318292,03-04-2014,9956,651.21,524.96,6483446.76,5226501.76,1256945,Yes,ok
E124,Europe,Poland,Household,Offline,L,07-07-2017,21-01-2010,232196319,08-04-2017,905,668.27,502.54,604784.35,454798.7,149985.65,Yes,ok
E124,Europe,Liechtenstein,Cosmetics,Online,L,7/15/2012,22-01-2010,229693067,7/15/2012,138,437.2,263.33,60333.6,36339.54,23994.06,Yes,ok
E124,Europe,United Kingdom,Beverages,Online,C,04-08-2017,23-01-2010,121945512,04-12-2017,5242,47.45,31.79,248732.9,166643.18,82089.72,Yes,ok
E124,Europe,Slovenia,Fruits,Online,H,10/22/2012,24-01-2010,169799983,11/20/2012,6443,9.33,6.92,60113.19,44585.56,15527.63,Yes,ok
E124,Europe,Malta,Vegetables,Online,M,03-11-2014,25-01-2010,894589078,04-10-2014,7643,154.06,90.93,1177480.58,694977.99,482502.59,Yes,ok
E124,Europe,Ukraine,Personal Care,Online,M,7/16/2010,26-01-2010,987459170,8/27/2010,9967,81.73,56.67,814602.91,564829.89,249773.02,Yes,ok
E124,Europe,Cyprus,Fruits,Offline,M,07-12-2015,27-01-2010,600515115,8/30/2015,4622,9.33,6.92,43123.26,31984.24,11139.02,Yes,ok
E124,Europe,Poland,Office Supplies,Offline,M,11/27/2015,28-01-2010,208365428,12/29/2015,8815,651.21,524.96,5740416.15,4627522.4,1112893.75,Yes,ok
E124,Europe,Monaco,Personal Care,Online,L,06-08-2014,29-01-2010,263098371,07-04-2014,5509,81.73,56.67,450250.57,312195.03,138055.54,Yes,ok
E124,Europe,Estonia,Cosmetics,Online,C,5/23/2011,30-01-2010,790149009,5/29/2011,1505,437.2,263.33,657986,396311.65,261674.35,Yes,ok
E124,Europe,Norway,Cereal,Online,M,10-08-2014,31-01-2010,100640618,10/18/2014,650,205.7,117.11,133705,76121.5,57583.5,Yes,ok
E124,Europe,Luxembourg,Snacks,Online,H,02-01-2011,01-02-2010,977324712,03-10-2011,955,152.58,97.44,145713.9,93055.2,52658.7,Yes,ok
E124,Europe,Luxembourg,Snacks,Online,H,09-07-2010,02-02-2010,510956799,9/23/2010,2326,152.58,97.44,354901.08,226645.44,128255.64,Yes,ok
E124,Europe,Armenia,Fruits,Online,M,3/23/2011,03-02-2010,120977771,05-02-2011,8866,9.33,6.92,82719.78,61352.72,21367.06,Yes,ok
E124,Europe,Bulgaria,Snacks,Offline,L,03-11-2017,04-02-2010,476991450,3/27/2017,1225,152.58,97.44,186910.5,119364,67546.5,Yes,ok
